codgeo;libgeo;an;pop65p
02265;Dohis;2022;34
02266;Dolignon;2022;13
02267;Dommiers;2022;30
02268;Domptin;2022;90
02269;Dorengt;2022;18
02270;Douchy;2022;26
02271;Dravegny;2022;24
02272;Droizy;2022;5
02273;Dury;2022;40
02274;Ébouleau;2022;34
02275;Effry;2022;58
02276;Englancourt;2022;23
02277;Épagny;2022;53
02278;Éparcy;2022;13
02279;Épaux-Bézu;2022;94
02280;Épieds;2022;63
02281;L'Épine-aux-Bois;2022;42
02282;Eppes;2022;77
02283;Erlon;2022;47
02284;Erloy;2022;21
02286;Esquéhéries;2022;180
02287;Essigny-le-Grand;2022;298
02288;Essigny-le-Petit;2022;64
02289;Essises;2022;78
02290;Essômes-sur-Marne;2022;538
02291;Estrées;2022;89
02292;Étampes-sur-Marne;2022;290
02293;Étaves-et-Bocquiaux;2022;116
02294;Étouvelles;2022;60
02295;Étréaupont;2022;201
02296;Étreillers;2022;345
02297;Étrépilly;2022;17
02298;Étreux;2022;300
02299;Évergnicourt;2022;88
02302;Faverolles;2022;42
02303;Fayet;2022;179
02304;La Fère;2022;540
02305;Fère-en-Tardenois;2022;809
02306;La Ferté-Chevresis;2022;99
02307;La Ferté-Milon;2022;479
02308;Fesmy-le-Sart;2022;98
02309;Festieux;2022;93
02310;Fieulaine;2022;60
02312;La Flamengrie;2022;184
02313;Flavigny-le-Grand-et-Beaurain;2022;94
02315;Flavy-le-Martel;2022;385
02316;Fleury;2022;36
02317;Fluquières;2022;42
02318;Folembray;2022;256
02319;Fonsomme;2022;86
02320;Fontaine-lès-Clercs;2022;60
02321;Fontaine-lès-Vervins;2022;167
02322;Fontaine-Notre-Dame;2022;83
02323;Fontaine-Uterte;2022;19
02324;Fontenelle;2022;48
02326;Fontenoy;2022;125
02327;Foreste;2022;37
02328;Fossoy;2022;125
02329;Fourdrain;2022;79
02330;Francilly-Selency;2022;103
02331;Franqueville;2022;26
02332;Fresnes-en-Tardenois;2022;46
02333;Fresnes-sous-Coucy;2022;25
02334;Fresnoy-le-Grand;2022;620
02335;Fressancourt;2022;28
02336;Frières-Faillouël;2022;141
02337;Froidestrées;2022;42
02338;Froidmont-Cohartille;2022;44
02339;Gandelu;2022;100
02340;Gauchy;2022;1258
02341;Gercy;2022;83
02342;Gergny;2022;21
02343;Germaine;2022;9
02345;Gibercourt;2022;4
02346;Gizy;2022;173
02347;Gland;2022;116
02349;Goudelancourt-lès-Berrieux;2022;20
02350;Goudelancourt-lès-Pierrepont;2022;30
02351;Goussancourt;2022;14
02352;Gouy;2022;103
02353;Grandlup-et-Fay;2022;61
02354;Grandrieux;2022;23
02355;Gricourt;2022;141
02356;Grisolles;2022;28
02357;Gronard;2022;9
02358;Grougis;2022;61
02359;Grugies;2022;209
02360;Villeneuve-sur-Aisne;2022;578
02361;Guise;2022;1222
02362;Guivry;2022;46
02363;Guny;2022;87
02364;Guyencourt;2022;32
02366;Hannapes;2022;51
02367;Happencourt;2022;32
02368;Haramont;2022;121
02369;Harcigny;2022;50
02370;Hargicourt;2022;108
02371;Harly;2022;446
02372;Hartennes-et-Taux;2022;77
02373;Hary;2022;41
02374;Lehaucourt;2022;170
02375;Hautevesnes;2022;18
02376;Hauteville;2022;31
02377;Haution;2022;28
02378;La Hérie;2022;34
02379;Le Hérie-la-Viéville;2022;47
02380;Hinacourt;2022;10
02381;Hirson;2022;2029
02382;Holnon;2022;346
02383;Homblières;2022;314
02384;Houry;2022;11
02385;Housset;2022;35
02386;Iron;2022;55
02387;Itancourt;2022;225
02388;Iviers;2022;59
02389;Jaulgonne;2022;156
02390;Jeancourt;2022;38
02391;Jeantes;2022;46
02392;Joncourt;2022;60
02393;Jouaignes;2022;24
02395;Jumencourt;2022;31
02396;Jumigny;2022;7
02397;Jussy;2022;233
02398;Juvigny;2022;46
02399;Juvincourt-et-Damary;2022;98
02400;Laffaux;2022;28
02401;Laigny;2022;40
02402;Lanchy;2022;10
02403;Landifay-et-Bertaignemont;2022;54
02404;Landouzy-la-Cour;2022;28
02405;Landouzy-la-Ville;2022;122
02406;Landricourt;2022;31
02407;Laniscourt;2022;26
02408;Laon;2022;4899
02409;Lappion;2022;58
02410;Largny-sur-Automne;2022;35
02411;Latilly;2022;20
02412;Launoy;2022;17
02413;Laval-en-Laonnois;2022;39
02414;Lavaqueresse;2022;44
02415;Laversine;2022;17
02416;Lemé;2022;105
02417;Lempire;2022;28
02418;Lerzy;2022;42
02419;Leschelle;2022;74
02420;Lesdins;2022;236
02421;Lesges;2022;20
02422;Lesquielles-Saint-Germain;2022;146
02423;Leuilly-sous-Coucy;2022;83
02424;Leury;2022;33
02425;Leuze;2022;39
02426;Levergies;2022;97
02427;Lhuys;2022;15
02428;Licy-Clignon;2022;13
02429;Lierval;2022;33
02430;Liesse-Notre-Dame;2022;323
02431;Liez;2022;108
02432;Limé;2022;38
02433;Lislet;2022;59
