BOR,AN,420,FI_EJ,LIT_MED,JLI_MED,SEJHC_MED,SEJ0_MED,JOU_MED,LIT_CHI,JLI_CHI,SEJHC_CHI,SEJ0_CHI,JOU_CHI,LIT_OBS,JLI_OBS,SEJHC_OBS,SEJ0_OBS,JOU_OBS,LIT_MCO,JLI_MCO,SEJHC_MCO,SEJ0_MCO,JOU_MCO,PLA_MED,SEJHP_MED,PLAN_MED,SEJN_MED,SEA_MED,PLA_CHI,SEJHP_CHI,PLA_OBS,SEJHP_OBS,PLAN_OBS,SEJN_OBS,PLA_MCO,SEJHP_MCO,PLAN_MCO,SEJN_MCO,SEA_MCO,PCAR,PDER,PEND,PGAS,PNEU,PPED,PPNE,PRHU,POPH,DEND,DNEU,DPED,DOPH,ACTCLI_PM,ACTCLI_SAG,ACTTEC_PM,ACTTEC_DEN,ACTTEC_SAG,ACTTEC_PNM
MCO,2018,270000441,270000110,34,12410,1500,95,10653,,,0,0,0,,,0,0,0,34,12410,1500,95,10653,,0,,,0,,0,,0,,,,0,,,0,1,1,0,1,0,0,1,0,0,,,,,2785,1306,8757,,1208,11431
MCO,2018,270000458,270023724,93,30270,4603,390,26806,23,7332,1258,64,5118,14,5110,1211,273,3482,130,42712,7072,727,35406,8,1325,,,4170,7,831,,0,,,15,2156,,,4170,1,0,1,1,1,1,1,1,1,156,72,7,115,29506,3596,13918,341,,1937
MCO,2018,270000862,270000953,33,12045,1059,15,5331,30,10950,2332,39,5532,,,0,0,0,63,22995,3391,54,10863,,0,,,2,21,5111,,0,,,21,5111,,,2,,,,,,,,,,,,,,,,,,,
MCO,2018,280000043,280000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,187,,,29,0,0,0,0,,,2,187,,,29,0,0,0,0,0,0,0,0,0,,,,,1135,,200,,,23
MCO,2018,280000084,280000183,259,88584,11968,642,77629,42,16158,3293,266,13473,30,11674,2168,41,8562,331,116416,17429,949,99664,24,574,,,3189,15,2802,7,811,,,46,4187,,,3189,1,1,1,1,1,1,1,1,0,101,111,117,,80344,3008,107791,939,5831,7903
MCO,2018,280000100,280000225,15,5475,237,1,4370,,,0,0,0,,,0,0,0,15,5475,237,1,4370,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,1,0,0,0,0,,51,,,77,,,,,
MCO,2018,280000449,920030269,39,14235,1295,19,9352,,,0,0,0,,,0,0,0,39,14235,1295,19,9352,6,102,,,0,,0,,0,,,6,102,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,280000662,280500075,93,33762,4960,716,27835,,,0,0,0,0,2220,211,37,616,93,35982,5171,753,28451,4,790,,,1040,10,435,2,35,,,16,1260,,,1040,1,0,1,0,0,1,1,1,1,,,,,13188,2344,17403,657,2492,3115
MCO,2018,280502998,280000589,60,20327,3411,783,20886,,,0,0,0,,,0,0,0,60,20327,3411,783,20886,,0,,,72,7,2656,,0,,,7,2656,,,72,1,0,1,0,1,1,1,1,1,150,92,115,184,28092,4850,23810,0,1753,
MCO,2018,280504267,280000134,393,138501,19668,1727,114100,76,26047,3325,1,18046,41,20751,3593,10,14588,510,185299,26586,1738,146734,34,2104,,,21534,15,3475,0,398,,,49,5977,,,21534,1,0,1,1,1,1,1,1,1,67,95,41,36,112831,11097,83459,492,1761,15999
